exercise,x_joint_1,y_joint_1,x_joint_2,y_joint_2,x_joint_3,y_joint_3
1,646.0,481.0,492.5,503.5,502.5,628.5
1,646.0,481.0,493.0,499.5,519.5,629.5
1,646.5,481.0,492.0,497.5,522.5,630.0
1,647.0,481.5,491.0,497.0,522.0,630.5
1,647.0,481.5,491.0,497.0,521.0,630.5
1,647.0,482.0,490.0,496.5,520.0,630.5
1,647.0,482.5,490.0,496.5,519.5,630.5
1,646.5,482.5,489.5,497.0,516.5,630.5
1,646.5,483.0,485.0,507.0,513.5,631.0
1,646.5,483.0,484.0,510.0,513.0,631.5
1,646.5,483.0,484.5,503.0,513.0,631.5
1,646.5,483.0,485.5,500.5,512.5,631.5
1,646.5,483.0,486.0,498.0,512.5,631.5
1,646.5,483.0,487.5,498.0,509.0,631.5
1,646.5,483.0,488.0,498.0,508.5,631.5
1,646.5,482.5,489.0,498.0,507.5,632.5
1,647.0,482.0,490.5,497.0,511.5,633.0
1,647.5,483.0,492.5,497.0,522.0,632.5
1,648.0,483.5,495.5,495.5,525.5,629.5
1,648.0,484.0,498.5,495.0,527.5,629.0
1,648.0,485.0,497.0,503.0,530.5,629.0
1,647.0,485.0,498.5,500.5,533.0,628.5
1,647.0,485.0,498.0,497.5,523.0,628.5
1,646.5,484.5,498.0,496.5,525.5,627.5
1,646.5,484.5,497.0,495.0,526.0,626.0
1,645.5,483.5,497.5,494.5,526.5,625.0
1,645.5,483.5,493.5,505.0,525.0,625.0
1,645.5,483.5,491.0,508.0,522.0,625.0
1,645.5,483.5,492.0,500.5,520.0,625.0
1,644.5,483.5,490.5,506.5,518.5,625.5
1,644.5,483.5,489.5,508.0,518.5,625.5
1,644.5,483.5,489.5,508.5,517.5,626.0
1,645.0,483.5,489.0,509.0,518.0,626.0
1,644.5,483.5,489.5,509.0,519.5,626.0
1,644.5,483.5,489.5,509.0,520.0,626.0
1,645.0,483.5,491.5,497.0,522.5,626.0
1,645.0,483.5,494.0,494.0,523.0,625.5
1,645.0,483.5,496.5,493.0,526.0,625.0
1,645.0,483.5,496.5,493.0,527.5,624.5
1,645.0,483.5,496.5,492.5,528.0,624.5
1,645.0,483.5,496.5,492.0,528.0,624.5
1,645.0,483.5,497.0,492.0,529.0,623.5
1,645.0,483.5,497.0,491.5,529.0,623.5
1,645.0,483.5,497.5,491.5,530.0,622.5
1,645.0,483.5,497.5,492.0,530.5,622.5
1,645.0,483.5,497.0,492.0,531.5,622.5
1,644.5,483.0,494.5,502.5,531.0,624.0
1,644.0,483.0,493.0,505.0,527.5,625.0
1,644.0,483.0,492.0,506.0,527.0,625.0
1,643.5,483.0,492.5,506.0,526.5,624.5
1,643.5,483.0,492.0,506.5,525.5,625.0
1,643.0,483.5,487.0,508.5,524.5,626.0
1,643.0,483.5,486.0,509.5,522.0,628.0
1,642.5,484.0,484.5,509.5,513.0,631.5
1,642.0,484.0,484.5,509.5,509.5,635.5
1,642.0,484.5,484.0,509.5,512.0,634.5
1,642.0,484.5,484.5,509.0,513.5,630.0
1,642.0,484.5,485.0,509.0,515.5,628.0
1,642.0,484.5,485.0,509.0,515.5,626.5
1,641.5,484.5,485.0,509.0,518.0,624.0
1,641.5,484.5,485.0,508.5,523.0,623.0
1,641.0,484.5,485.5,508.5,524.0,622.0
1,640.5,485.0,484.0,508.5,518.0,627.5
1,641.0,485.0,484.5,508.5,518.0,627.5
1,641.5,485.5,486.5,508.5,520.0,625.5
1,642.0,485.0,487.0,508.5,520.0,625.5
1,642.0,485.0,487.0,508.0,519.0,625.5
1,642.0,485.0,493.5,489.0,519.0,623.0
1,642.0,485.0,496.0,487.0,522.5,620.0
1,642.5,484.0,500.5,484.5,522.5,619.0
1,644.0,483.5,503.0,483.5,523.0,619.0
1,644.0,484.0,504.0,483.0,522.5,619.5
1,644.5,484.0,506.5,483.5,524.0,617.0
1,644.5,484.0,507.5,482.0,523.5,615.0
1,644.5,484.0,509.5,481.0,523.5,614.5
1,644.5,484.0,510.0,482.5,523.0,615.0
1,644.0,484.0,509.5,483.0,520.0,615.5
1,644.0,484.0,508.5,483.5,516.5,617.5
