exercise,x_joint_1,y_joint_1,x_joint_2,y_joint_2,x_joint_3,y_joint_3
1,551.5,446.0,434.5,444.0,320.0,453.5
1,551.5,446.0,435.0,443.0,320.5,452.5
1,552.0,445.5,435.5,442.5,321.0,451.0
1,552.0,446.5,436.5,444.5,322.0,450.0
1,552.0,446.5,436.5,446.5,321.5,449.0
1,552.0,446.0,437.0,448.5,321.5,448.5
1,552.0,446.5,437.0,448.0,321.5,448.5
1,552.0,446.0,437.0,447.0,322.5,448.5
1,552.0,446.0,437.0,446.5,322.5,448.5
1,551.0,445.0,437.0,444.5,322.5,449.0
1,550.5,445.0,436.0,445.0,322.5,449.5
1,550.0,445.5,436.0,446.0,322.5,452.0
1,550.0,445.5,436.0,447.0,323.5,453.0
1,550.0,445.5,436.0,447.5,323.0,453.0
1,550.0,445.5,436.0,448.5,323.0,453.0
1,550.0,446.0,436.0,449.5,322.5,453.5
1,550.0,446.0,436.0,449.5,322.5,453.5
1,550.0,446.0,435.5,449.5,322.5,453.5
1,550.0,446.0,435.5,449.5,322.5,454.0
1,550.0,445.5,435.5,449.5,322.0,454.0
1,550.0,445.0,435.5,450.0,322.5,454.5
1,550.0,444.5,435.5,448.0,322.0,455.0
1,550.0,444.0,436.0,447.5,321.5,456.5
1,550.0,444.0,436.0,447.5,322.0,457.5
1,550.5,444.0,436.0,447.5,322.0,459.0
1,550.5,444.0,436.0,448.0,321.5,462.0
1,550.5,443.5,436.5,451.0,341.5,485.0
1,550.5,444.0,436.5,452.0,340.0,489.5
1,550.5,444.0,437.0,454.0,344.0,499.0
1,550.5,444.5,436.5,454.5,339.0,492.0
1,550.5,445.0,436.5,455.0,341.5,497.0
1,550.5,445.0,437.0,457.0,359.5,525.0
1,550.5,445.5,437.5,458.0,362.0,527.5
1,550.5,445.5,437.5,457.0,354.0,513.5
1,550.5,445.5,437.5,457.5,363.0,528.5
1,551.0,446.0,437.5,458.0,362.0,529.5
1,551.0,446.5,438.0,458.0,358.5,524.0
1,551.5,446.0,440.0,459.0,366.0,532.0
1,552.0,446.5,439.5,458.5,367.0,530.5
1,552.0,446.5,439.0,458.0,365.0,521.5
1,552.0,447.0,439.5,458.5,365.5,531.5
1,552.0,447.5,439.0,458.5,368.5,538.0
1,552.5,447.5,439.0,458.5,370.0,540.5
1,553.0,447.5,439.0,459.0,371.0,542.5
1,553.0,448.0,439.0,459.0,371.5,544.0
